Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
171,CRD.A,"22,46,33,206",199.7,0.2,0.5,14.5
172,CCK,"22,83,68,106",-1468.8,1,2.3,60.6
173,CRWS,"22,83,09,100",289.9,-5.3,3.9,0.1
174,CUB,"22,96,69,106",2707.7,0.1,0.1,41.2
175,CULP,"23,02,15,105",391,0.3,0.5,1
176,CMI,"23,10,21,106",1800,0.2,0.3,790.1
177,CW,"23,15,61,101",1495.2,0.3,0.3,92.4
178,GTBP,36254L100,-20.6,-0.6,0.2,-6
179,DST,"23,33,26,107",-1460.6,0.5,0.3,336.4
180,WEN,95058W100,-2368.3,0.7,0.7,19.6
181,DHR,"23,58,51,102",15813.3,0.2,0.1,1441.4
182,DAIO,"23,76,90,102",39.8,0,0,-0.4
183,DWSN,"23,93,60,100",202.4,0,0,3.6
184,TGT,"87,60,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",-14818.8,0.5,0.4,2163.6
185,DE,"24,41,99,105",-3133.7,0.8,0.8,1690.4
186,DAL,"24,73,61,702",-22562.5,0.6,8.1,-501.1
187,DLX,"24,80,19,101",776.8,1.2,0.4,164.3
188,ATGE,00737L103,1760.5,0.1,0,116.5
189,DEWY,"25,20,63,102",2,0.1,0.1,0.1
190,AOI,"1,87,72,301",2580.8,0.7,2.6,-15.9
191,DBD,"25,36,51,103",6672.1,0.2,0.2,67.3
192,NSYS,"65,65,53,104",-9.1,0.3,0.5,0.8
193,DDS,"25,40,67,101",2046.1,0.4,1.1,121.7
194,DIOD,"25,45,43,101",924.8,0.3,0.3,31.9
195,DIS,"25,46,87,106",-1956.2,0.3,0.2,3775.6
196,DXYN,"25,55,19,100",-469.4,0.6,1.9,-3.8
197,WFSTF,"95,82,11,203",-848.3,-0.6,14.1,-42.7
198,DCI,"25,76,51,109",-125.4,0.2,0.1,156.4
199,RRD,"25,78,67,200",4230,0.6,0.8,61.7
200,DMLP,25820R105,-110.9,0,0,31.5
201,DOV,"26,00,03,108",2732.7,0.3,0.2,568
202,DWDP,26078J100,33143.8,0.4,0.4,2509.2
203,OMC,"68,19,19,106",13320.1,0.2,0.2,839.8
204,ASNA,04351G101,11072,0.1,0.1,65
205,DCO,"26,41,47,109",-380.3,0.3,0.6,4.9
206,DNB,"26,50,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",1923.3,1.5,0.2,231
207,FLS,34354P105,-3278.8,0.4,0.4,245.8
208,DYNT,"26,81,57,401",12.8,0.2,0.3,-0.5
209,DYSL,"26,81,02,100",13.6,0.5,0.7,-0.2
210,PKI,"71,40,46,109",-1788.4,0.3,0.2,115.8
211,EML,"27,63,17,104",-76.5,0.2,0.2,5.7
212,ETN,G29183103,-6787.5,0.3,0.3,953.5
213,ECL,"27,88,65,100",-3910.9,0.3,0.1,502.6
214,EDUC,"28,14,79,105",34.9,0,0,1.7
215,ESIO,"28,52,29,100",47.6,0.1,0,-4.7
216,ELSE,"28,52,33,102",-14.8,0,0,0.9
217,ELRNF,"29,01,60,100",146.8,0.1,0.2,5.4
218,EMR,"29,10,11,104",2736.2,0.2,0.1,1745.9
219,WFT,G48833100,8960,0.4,0.4,66.9
220,EBF,"29,33,89,102",-467.4,0.2,0.2,19.9
221,ENZN,"29,39,04,108",-751.7,5.2,0.5,21
222,ETCC,"29,40,92,101",-65.6,0.5,0.9,-1.1
223,ENZ,"29,41,00,102",-193.6,0,0,-9.2
224,EFX,"29,44,29,105",7579.5,0.6,0.2,259.3
225,ESCA,"29,60,56,104",57.4,0.1,0.1,7.3
226,ESP,"29,66,50,104",26.4,0,0,2.3
227,ESL,"29,74,25,100",852.8,0.3,0.4,80.7
228,NEU,"65,15,87,107",213.8,0.5,0.9,114.2
229,ESCC,"29,90,96,107",-119,0.2,2.4,-10.1
230,KINS,"49,67,19,105",82.6,0.2,0.4,1.5
231,EXPD,"30,21,30,109",3713.6,0,0,261.1
232,BOOM,23291C103,-7.1,0.3,0.4,6.7
233,IIIN,45774W108,-201.7,0.3,2.7,9.2
234,XOM,30231G102,43287.5,0,0,29358.1
235,FMC,"30,24,91,303",-768.1,0.4,0.3,186.5
236,FARM,"30,76,75,108",190.4,0,0,0.1
237,FDX,31428X106,25550.6,0.2,0.1,1290.8
238,RUSMF,"78,19,03,604",-16.6,0.3,0.5,74.7
239,FSCR,"31,38,19,104",20.2,0.2,1.5,0.2
240,FSS,"31,38,55,108",204.5,0.4,0.4,15.5
241,M,55616P104,-856.2,0.5,0.7,506.4
242,FOE,"31,54,05,100",-152.7,0.5,0.6,-3.3
243,CLBS,"12,80,58,203",240.9,-0.4,0.1,-22.5
244,FCIC,30246C104,-10.5,0,0,0
245,BDL,"33,85,17,105",19,0.2,0.4,1.5
246,MALJF,"55,89,12,200",-449.4,0.2,1.1,26.3
247,FLXS,"33,93,82,103",-61,0,0.1,9.3
248,FLO,"34,34,98,101",-1475,0.2,0.1,94.9
249,FLR,"34,34,12,102",10726,0.1,0,379.9
250,FONR,"34,44,37,405",-85.5,0.1,0.1,-6.4
251,F,"34,53,70,860",81881.2,1,5.8,1582.4
252,FSTR,"35,00,60,109",180.7,0.2,0.4,15.1
253,FELE,"35,35,14,102",137.3,0.2,0.1,47.8
254,FRD,"35,84,35,105",38.8,0,0,4.4
255,FUL,"35,96,94,106",571.8,0.3,0.2,69.7
256,GATX,"36,14,48,103",-3022.5,1.3,1.9,123.3
257,AJG,"36,35,76,109",2764.1,0.1,0.1,164
258,TGNA,87901J105,-12598.8,0.6,0.6,424.3
259,GPS,"36,47,60,108",-242.1,0.2,0.1,934.6
260,AJRD,"78,00,105",1518.1,0.6,0.9,-7.6
261,GNDIF,"36,86,84,106",288.6,0,0.1,-0.9
262,GE,"36,96,04,103",-82262.5,0.8,1.2,13883.9
263,JOB,36165A102,40.9,0,0,-1.3
264,SPXC,"78,46,35,104",-563.7,0.3,0.5,232.1
265,GNTX,"37,19,01,109",1537.4,0,0,138.1
266,GPC,"37,24,60,105",467.1,0.1,0.1,466.8
267,GIGA,"37,51,75,106",-18.5,0.1,0,-1.5
268,GLT,"37,73,16,104",463.6,0.3,0.4,49.1
269,GDRZF,38068N108,266.6,2.8,0.3,-21.5
270,GV,"38,13,70,105",9.5,0.2,0.3,1.4
271,GT,"38,25,50,101",7243.7,0.4,1.6,113.7
272,GRA,38388F108,-908.1,0.2,0,72.5
273,GGG,"38,41,09,104",-429.5,0.2,0.1,136.3
274,GHM,"38,45,56,106",115.3,0,0,6.6
275,GWW,"38,48,02,104",-1800.8,0.1,0,461
276,GTN,"38,93,75,106",3813.5,1.5,5.7,-3.5
277,GEF,"39,76,24,107",-594.1,0.4,0.5,115.3
278,GLF,"40,26,29,505",91,0.5,0.8,30
279,HAL,"40,62,16,101",47418.8,0.3,0.2,1354
280,HRS,"41,38,75,105",1155.3,0.3,0.2,255.6
281,HSC,"41,58,64,107",-3110.2,0.4,0.5,61.2
282,HAS,"41,80,56,107",3251,0.4,0.3,239.2
283,AMOT,"1,93,30,109",165,0.2,0.2,2.9
284,HVT,"41,95,96,101",-93.3,0.2,0.2,15.2
285,HWKN,"42,02,61,109",-108,0,0,14.2
286,HCSG,"42,19,06,108",-172.2,0,0,26.4
287,STRL,"85,92,41,101",16.2,-0.2,0.9,-2.1
288,HL,"42,27,04,106",1042.8,0.1,0.3,8.4
289,HELE,G4388N106,-91.1,0.3,0.3,64.8
